"","dia_mes_ano","hora_minuto","irr_inv","massaPM1","numPM1","massaPM2","numPM2","tamanho_medio","temp","vento_vel","vento_dir","P_DC","x_gauss","P_AC","I_AC","V_AC","I_DC","V_DC","massaPM4","numPM4","massaPM10","numPM10","rainfall","irr_est","Vd1","Pd","Nloss","Vd2","m","SR"
"37",20191004,"060900",78.6,8.51,70.23,0.29,0.19,0.47,30.45,0,180,620.06,0.00232724173269968,593,2.73,218.37,1.08,572.37,0,0,0,0,0,91.42,0.000270245340306062,2e-08,3e-10,0.000276657779764783,0.00631733834641965,0.909744161849878
"38",20191004,"061900",111.9,9.76,80.5,0.32,0.22,0.49,30.84,0,180,905.04,0.00238267404163462,874.2,4.02,217.91,1.71,532.31,0,0,0,0,0,125.14,0.00026792927113335,2e-08,3e-10,0.000274341710592071,0.00649530701359273,0.907594376239712
"39",20191004,"062900",150,22.59,186.39,0.75,0.51,0.48,29.55,1.6,180,1276.98,0.0026203468113422,1244.2,5.71,218.03,2.38,536.96,0,0.01,0,0,0,157.46,0.000277175295880594,2e-08,3e-10,0.000283587735339315,0.00726667666116197,0.89837691544592
"40",20191004,"063900",189.5,8.39,69.2,0.28,0.19,0.48,28.97,3.19,166.5,1675.41,0.00284731444106764,1642.3,7.5,219.13,3.03,553.42,0,0,0,0,0,198.71,0.00029779963753905,2e-08,3e-10,0.000304212076997772,0.0080151971494515,0.889574633689497
"41",20191004,"064900",230.4,13.09,107.99,0.44,0.3,0.49,29.91,3.19,144,2080.53,0.00311965694068554,2039.8,9.29,219.81,3.7,562.74,0,0,0,0,0,234.81,0.000318506832660142,2e-08,3e-10,0.000324919272118863,0.00892760936403625,0.879012634198421
"42",20191004,"065900",274.6,10.94,90.27,0.36,0.25,0.5,29.46,5.59,108,2508.61,0.0035440713789168,2472.2,11.41,216.83,4.4,569.73,0,0,0,0,0,274.66,0.000358755133443615,2e-08,3e-10,0.000365167572902337,0.0103780121066616,0.86255301006752
"43",20191004,"070900",322.3,5.89,48.61,0.2,0.13,0.45,29.58,11.97,103.5,2943.94,0.00459240848639289,2902.4,13.31,218.26,5.17,569.73,0,0,0,0,0,319.29,0.000480685435429338,3e-08,4.5e-10,0.00048709787488806,0.014090739213819,0.821896666060369
"44",20191004,"071900",365,5.21,42.95,0.17,0.12,0.44,29.9,14.63,94.5,3315.98,0.00684246187887856,3240.8,15.06,217.73,5.85,567,0,0,0,0,0,353.99,0.000761498019768689,5e-08,7.5e-10,0.000767910459227411,0.0225587278744034,0.734637102725987
"45",20191004,"072900",409.9,5.38,44.4,0.18,0.12,0.44,30.43,12.9,90,3710.16,0.0101510840816544,3671.8,17.03,215.7,6.59,563.38,0,0,0,0,0,397.22,0.0011977148057381,8e-08,1.2e-09,0.00120412724519682,0.0359324024143284,0.606330200077054
"46",20191004,"073900",455.9,5.67,46.79,0.19,0.13,0.46,31.03,14.63,94.5,4106.67,0.0155676065129703,4056.2,18.72,216.77,7.37,557.3,0,0,0,0,0,436.89,0.00195599011678759,1.2e-07,1.8e-09,0.00196240255624631,0.0595201666316023,0.396299751518722
"47",20191004,"074900",502.2,5.64,46.51,0.19,0.13,0.44,32.57,8.11,108,4483.55,0.0188691170495798,4424.7,20.43,216.73,8.13,551.46,0,0,0,0,0,477.54,0.00241720852011589,1.5e-07,2.25e-09,0.00242362095957461,0.0746874375464116,0.268297346771451
"48",20191004,"075900",547.6,5.67,46.77,0.19,0.13,0.45,32.16,15.56,81,4866.79,0.0264894071452659,4797.6,22.21,215.87,8.86,549.07,0,0,0,0,0,516.41,0.0035540137500779,2.2e-07,3.3e-09,0.00356042618953662,0.111459804827998,-0.0270823347388696
"49",20191004,"080900",587.8,6.03,49.78,0.2,0.14,0.46,32.46,12.5,63,5181.58,0.0327684013853371,5118.5,23.7,215.95,9.53,544.02,0,0,0,0,0,552.31,0.00449528137204027,2.8e-07,4.2e-09,0.00450169381149899,0.1432684351578,-0.270382271926352
"50",20191004,"081900",622.3,6.08,50.15,0.2,0.14,0.46,32.27,14.76,40.5,5483.93,0.0403073847122185,5398.4,25.05,215.48,10.14,540.67,0,0,0,0,0,583.04,0.00564837605379896,3.5e-07,5.25e-09,0.00565478849325768,0.182930832287354,-0.562370627357534
"51",20191004,"082900",661.6,6.04,49.86,0.2,0.14,0.44,31.96,20.62,40.5,5818.18,0.0507326134461165,5732.4,26.43,216.86,10.84,536.75,0,0,0,0,0,624.69,0.00729466051638889,4.5e-07,6.75e-09,0.00730107295584761,0.239990431380461,-0.965845392960783
"52",20191004,"083900",698.6,5.54,45.72,0.18,0.12,0.44,33.11,12.77,90,6132.67,0.0564357939583807,6027.3,28.12,214.3,11.44,536.12,0,0,0,0,0,658.21,0.00815416417047351,5e-07,7.5e-09,0.00816057660993223,0.27214453639441,-1.18639361620351
"53",20191004,"084900",732.8,5.93,48.92,0.2,0.13,0.44,32.96,14.23,63,6375.97,0.0626368207351244,6287.5,29.45,214,12.01,530.83,0,0,0,0,0,678.83,0.00908316425959821,5.6e-07,8.4e-09,0.00908957669905693,0.307775565174289,-1.42603257741582
"54",20191004,"085900",753.2,5.7,47.01,0.19,0.13,0.45,33.98,12.5,103.5,6570.25,0.0677135187199474,6356.9,29.64,214.66,12.45,527.72,0,0,0,0,0,714.13,0.00981632973531944,6e-07,9e-09,0.00982274217477816,0.33742671616529,-1.62208408990398
"55",20191004,"090900",856.6,5.6,46.2,0.18,0.13,0.44,34.55,13.7,85.5,7269.86,0.0731108616066015,7152.9,32.88,216.62,13.9,523.13,0,0,0,0,0,763.31,0.010597850067811,6.4e-07,9.6e-09,0.0106042625072698,0.369392837346117,-1.83037023312702
"56",20191004,"091900",665.1,5.59,46.13,0.19,0.13,0.45,34.29,11.7,72,5800.95,0.0774408525335538,5557.3,25.91,216.95,11.25,515.63,0,0,0,0,0,624.49,0.0111880288133032,6.8e-07,1.02e-08,0.0111944412527619,0.395348466927145,-1.99734851841809
"57",20191004,"092900",682.9,6.06,49.97,0.2,0.14,0.43,33.65,12.77,90,5526.44,0.0821617440309415,5606.7,25.29,216.91,10.04,543.76,0,0,0,0,0,600.3,0.0118228340025484,7.1e-07,1.065e-08,0.0118292464420072,0.423946582697534,-2.17927340777231
